Section,Section 2,Article Name,Venue,Year,Author List,About,Link,Date added
Practitioner guides and blog posts,,LLM-as-a-Judge: Rethinking Model-Based Evaluations in the Age of GenAI,Personal blog,2024,Hanchung Lee,"A practical overview of how LLM-as-a-judge fits into the broader evolution of text evaluation, with actionable guidance and prompt ideas for improving evaluator reliability. It is a good intuition-building resource for applied GenAI evaluation.",https://leehanchung.github.io/blogs/2024/08/11/llm-as-a-judge/,4/1/26
Practitioner guides and blog posts,,LLM-as-a-judge: a complete guide to using LLMs for evaluations,Personal blog,2025,Evidently AI,"A concise applied guide explaining why LLM-as-a-judge is popular, how to build an evaluator, and what tradeoffs and alternatives practitioners should consider. It is written for teams evaluating LLM-powered products rather than for a research audience.",https://www.evidentlyai.com/llm-guide/llm-as-a-judge,4/1/26
Validity and reliability of judge LLMs,,Can Large Language Models Be an Alternative to Human Evaluations?,ACL,2023,Cheng-Han Chiang; Hung-yi Lee,"This paper is an early foundational study of LLM-as-evaluator, asking whether large language models can serve as an alternative to human evaluation by rating text using the same instructions and questions given to human judges. Across story generation and adversarial-attack evaluation, it finds that LLM ratings are broadly consistent with expert human judgments and relatively stable across prompt formatting and sampling choices.",https://aclanthology.org/2023.acl-long.870.pdf,4/1/26
Validity and reliability of judge LLMs,,Keeping Humans in the Loop: Human-Centered Automated Annotation with Generative AI,AAAI,2025,"Nick Pangakis, Sam Wolken","This paper argues that generative AI can support large-scale automated annotation, but only within a human-centered validation framework that checks model performance across tasks rather than assuming LLM labels are uniformly reliable. Replicating 27 annotation tasks across 11 computational social science datasets, it finds that GPT-4 often produces strong labels but shows substantial task-to-task variation, so human oversight and careful validation remain essential.",https://ojs.aaai.org/index.php/ICWSM/article/view/35883/38037,4/1/26
Validity and reliability of judge LLMs,,Neither Valid nor Reliable? Investigating the Use of LLMs as Judges,NeurIPS,2025,Khaoula Chehbouni; Mohammed Haddou; Jackie Chi Kit Cheung; Golnoosh Farnadi,"This position paper critically examines the use of LLMs as judges, arguing that current enthusiasm has outpaced rigorous evidence about their validity and reliability as evaluators. Drawing on social-science measurement theory, it challenges four core assumptions—human proxy validity, evaluator capability, scalability, and cost-effectiveness—and uses applications such as summarization, data annotation, and safety alignment to argue for more responsible judge-LLM evaluation practices.",https://neurips.cc/virtual/2025/loc/san-diego/poster/121914,4/1/26
Validity and reliability of judge LLMs,,Judge Reliability Harness: Stress Testing the Reliability of LLM Judges,ICLR,2026,Sunishchal Dev; Andrew Sloan; Joshua Kavner; Nicholas Kong; Morgan Sandler,"This paper introduces the Judge Reliability Harness, an open-source framework for systematically stress-testing LLM judges across free-response and agentic tasks by generating validation suites for both binary and ordinal judgments. Evaluating four state-of-the-art judges across safety, persuasion, misuse, and agentic benchmarks, it finds substantial sensitivity to perturbations such as formatting, paraphrasing, verbosity, and label flips, showing that no tested judge is uniformly reliable across settings.",https://arxiv.org/abs/2603.05399,4/1/26
Validity and reliability of judge LLMs,,Who Validates the Validators? Aligning LLM-Assisted Evaluation of LLM Outputs with Human Preferences,UIST,2024,Shreya Shankar; J. D. Zamfirescu-Pereira; Björn Hartmann; Aditya G. Parameswaran; Ian Arawjo,"This paper introduces EvalGen, a mixed-initiative system for aligning LLM-assisted evaluation with human preferences by helping users generate and refine evaluation criteria, prompts, and code-based assertions. It is especially relevant to judge LLMs because it shows that LLM-generated evaluators must themselves be validated against human judgments, and it identifies criteria drift as a core challenge in building reliable automated evaluators.",https://arxiv.org/abs/2404.12272,4/1/26
Validity and reliability of judge LLMs,,G-Eval: NLG Evaluation using Gpt-4 with Better Human Alignment,EMNLP,2023,Yang Liu; Dan Iter; Yichong Xu; Shuohang Wang; Ruochen Xu; Chenguang Zhu,"This paper introduces G-Eval, a GPT-4–based framework for reference-free NLG evaluation that uses chain-of-thought prompting and a form-filling scheme to improve alignment with human judgments on summarization and dialogue tasks. It is highly relevant to judge LLMs because it is one of the earliest and most influential papers showing that strong LLM judges can outperform prior automatic metrics while still exhibiting important biases, including a preference for LLM-generated text.",https://aclanthology.org/2023.emnlp-main.153/,4/1/26
Validity and reliability of judge LLMs,,FLASK: Fine-grained Language Model Evaluation based on Alignment Skill Sets,ICLR,2024,Seonghyeon Ye; Doyoung Kim; Sungdong Kim; Hyeonbin Hwang; Seungone Kim; Yongrae Jo; James Thorne; Juho Kim; Minjoon Seo,"This paper introduces FLASK, a fine-grained LLM evaluation framework that decomposes model performance into instruction-specific alignment skill sets rather than relying only on overall preference judgments. It is highly relevant to judge LLMs because it proposes a more interpretable and potentially more reliable way for both human and model-based evaluators to assess outputs, and shows strong correlation between model-based and human-based judgments.",https://arxiv.org/abs/2307.10928,4/1/26
Validity and reliability of judge LLMs,,Prometheus: Inducing Fine-Grained Evaluation Capability in Language Models,ICLR,2024,Seungone Kim; Jamin Shin; Yejin Cho; Joel Jang; Shayne Longpre; Hwaran Lee; Sangdoo Yun; Seongjin Shin; Sungdong Kim; James Thorne; Minjoon Seo,"This paper introduces Prometheus, a fully open-source fine-grained evaluator LLM trained to score long-form responses against customizable rubrics and reference materials, aiming to provide a cheaper and more controllable alternative to proprietary judges like GPT-4. It is highly relevant to judge LLMs because it develops a dedicated judge model, shows strong agreement with human evaluators across customized rubrics, and frames rubric-conditioned evaluation as a scalable paradigm for automatic assessment.",https://arxiv.org/abs/2310.08491,4/1/26
Validity and reliability of judge LLMs,,Prometheus 2: An Open Source Language Model Specialized in Evaluating Other Language Models,EMNLP,2024,Seungone Kim; Juyoung Suk; Shayne Longpre; Bill Yuchen Lin; Jamin Shin; Sean Welleck; Graham Neubig; Moontae Lee; Kyungjae Lee; Minjoon Seo,"This paper introduces Prometheus 2, an open-source evaluator LM designed to assess other language models using both direct scoring and pairwise ranking under user-defined evaluation criteria. It is highly relevant to judge LLMs because it advances dedicated judge-model development and shows stronger agreement with human and proprietary LM judgments than prior open evaluator models across multiple evaluation benchmarks.",https://aclanthology.org/2024.emnlp-main.248/,4/1/26
Systematic Biases in Judge LLMs,,Justice or Prejudice? Quantifying Biases in LLM-as-a-Judge,ICLR,2025,"Jiayi Ye, Yanbo Wang, Yue Huang, Dongping Chen, Qihui Zhang, Nuno Moniz, Tian Gao, Werner Geyer, Chao Huang, Pin-Yu Chen, Nitesh V. Chawla, Xiangliang Zhang","This paper systematically studies bias in LLM-as-a-Judge, identifying 12 distinct bias types and introducing CALM, an automated framework for quantifying them through controlled, principle-guided modifications to evaluation inputs. It is highly relevant to judge LLMs because it directly targets one of the field’s central validity concerns: whether judge models produce reliable evaluations or are swayed by irrelevant features and hidden systematic biases",https://arxiv.org/abs/2410.02736,4/1/26
Systematic Biases in Judge LLMs,,Are LLM-Judges Robust to Expressions of Uncertainty? Investigating the Effect of Epistemic Markers on LLM-based Evaluation,NAACL,2025,"Dongryeol Lee, Yerin Hwang, Yongil Kim, Joonsuk Park, Kyomin Jung","This paper introduces EMBER, a benchmark for testing whether LLM judges remain reliable when evaluated outputs contain epistemic markers such as expressions of certainty or uncertainty, across both single-answer and pairwise evaluation settings. It is highly relevant to judge LLMs because it shows that even strong judges, including GPT-4o, are systematically biased by these markers—especially uncertainty expressions—rather than focusing only on underlying correctness.",https://aclanthology.org/2025.naacl-long.452.pdf,4/1/26
Validity and reliability of judge LLMs,,HD-Eval: Aligning Large Language Model Evaluators Through Hierarchical Criteria Decomposition,ACL,2024,"Yuxuan Liu, Tianchi Yang, Shaohan Huang, Zihan Zhang, Haizhen Huang, Furu Wei, Weiwei Deng, Feng Sun, Qi Zhang","This paper introduces HD-EVAL, a framework for aligning LLM evaluators with human preferences by decomposing evaluation into a hierarchy of fine-grained criteria, aggregating those criteria with a human-preference-guided white-box model, and pruning unimportant dimensions during iterative training. It is highly relevant to judge LLMs because it directly addresses a core problem in the area—how to make LLM-based evaluators more aligned, explainable, and trustworthy than single-prompt judging approaches.",https://aclanthology.org/2024.acl-long.413.pdf,4/1/26
Systematic Biases in Judge LLMs,,Large Language Models are not Fair Evaluators,ACL,2024,"Peiyi Wang, Lei Li, Liang Chen, Zefan Cai, Dawei Zhu, Binghuai Lin, Yunbo Cao, Lingpeng Kong, Qi Liu, Tianyu Liu, Zhifang Sui","This paper shows that LLM judges suffer from a strong positional bias: simply swapping the order of candidate responses can substantially change evaluation outcomes, even enough to make weaker models appear better than stronger ones. It is highly relevant to judge LLMs because it directly identifies a core reliability threat in pairwise LLM evaluation and proposes a calibration method that improves alignment with human judgments.",https://aclanthology.org/2024.acl-long.511/,4/1/26
Systematic Biases in Judge LLMs,,Self-Preference Bias in LLM-as-a-Judge,arXiv,2024,"Koki Wataoka, Tsubasa Takahashi, Ryokan Ri","This paper studies self-preference bias in LLM-as-a-Judge, introducing a quantitative metric for measuring the phenomenon and showing that GPT-4 systematically favors outputs that are more familiar to it. It is highly relevant to judge LLMs because it identifies a concrete reliability threat and argues that the bias is driven less by literal self-generation than by a preference for lower-perplexity text that better matches the judge model’s own distribution.",https://arxiv.org/abs/2410.21819,4/1/26
Systematic Biases in Judge LLMs,,Beyond the Surface: Measuring Self-Preference in LLM Judgments,EMNLP,2025,"Zhi-Yuan Chen, Hao Wang, Xinyu Zhang, Enrui Hu, Yankai Lin","This paper studies self-preference bias in LLM judges and argues that existing measurements confound bias with actual response quality. It introduces the DBG score, a gold-judgment-based metric that more cleanly isolates self-preference bias, and uses it to show how factors such as model size, reasoning ability, response style, and post-training data affect judge reliability.",https://aclanthology.org/2025.emnlp-main.86.pdf,4/1/26
Systematic Biases in Judge LLMs,Foundational papers on judge LLM systems and judge LLM benchmarks,AlpacaFarm: A Simulation Framework for Methods that Learn from Human Feedback,NeurIPS,2023,"Yann Dubois, Xuechen Li, Rohan Taori, Tianyi Zhang, Ishaan Gulrajani, Jimmy Ba, Carlos Guestrin, Percy Liang, Tatsunori B. Hashimoto","This paper introduces AlpacaFarm, a low-cost simulation framework for research on learning from human feedback that uses LLMs to emulate pairwise human preference judgments, provide automatic evaluation, and support reproducible experimentation with RLHF-style methods. It is relevant to judge LLMs because it shows how LLMs can act as scalable evaluators of model outputs and provides early evidence that such automated judgments can approximate human preference rankings in instruction-following settings.",https://proceedings.neurips.cc/paper_files/paper/2023/file/5fc47800ee5b30b8777fdd30abcaaf3b-Paper-Conference.pdf,4/1/26
Systematic Biases in Judge LLMs,,Length-Controlled AlpacaEval: A Simple Way to Debias Automatic Evaluators,COLM,2024,"Yann Dubois, Balázs Galambosi, Percy Liang, Tatsunori B. Hashimoto","This paper introduces Length-Controlled AlpacaEval, a simple regression-based method for removing length bias from LLM-based automatic evaluation, asking what preferences would look like if compared outputs had the same length. It is highly relevant to judge LLMs because it directly addresses one of the field’s best-known validity threats—evaluators rewarding verbosity rather than true quality—and shows that debiasing improves agreement with human-preference rankings.",https://arxiv.org/abs/2404.04475,4/1/26
Systematic Biases in Judge LLMs,,BiasScope: Towards Automated Detection of Bias in LLM-as-a-Judge Evaluation,ICLR,2026,"Peng Lai, Zhihao Ou, Yong Wang, Longyue Wang, Jian Yang, Yun Chen, Guanhua Chen","This paper introduces BiasScope, an automated framework for systematically discovering both known and previously unidentified biases in LLM-as-a-Judge evaluation, and uses it to build JudgeBench-Pro, a more challenging robustness benchmark. It is highly relevant to judge LLMs because it shifts bias analysis from manually checking predefined bias types to automated large-scale bias discovery, and shows that even strong judge models still make errors on more than half of the benchmark cases.",https://arxiv.org/abs/2602.09383,4/1/26
Validity and reliability of judge LLMs,,ProSA: Assessing and Understanding the Prompt Sensitivity of LLMs,EMNLP,2024,"Jingming Zhuo, Songyang Zhang, Xinyu Fang, Haodong Duan, Dahua Lin, Kai Chen","This paper introduces ProSA, a framework for measuring and analyzing how sensitive LLM performance is to prompt wording, using a new metric called PromptSensiScore and decoding confidence to study the phenomenon. It is relevant to judge LLMs because prompt sensitivity is a core reliability threat for any evaluation system built on LLM prompting, especially in subjective and reasoning-heavy judgment tasks.",https://aclanthology.org/2024.findings-emnlp.108/,4/1/26
Validity and reliability of judge LLMs,,State of What Art? A Call for Multi-Prompt LLM Evaluation,TACL,2024,"Moran Mizrahi, Guy Kaplan, Dan Malkin, Rotem Dror, Dafna Shahaf, Gabriel Stanovsky","This paper shows that single-prompt LLM evaluation is brittle: across 6.5 million evaluations spanning 20 LLMs and 39 tasks, different instruction paraphrases can substantially change both absolute scores and relative model rankings. It is relevant to judge LLMs because it identifies prompt sensitivity as a core reliability threat and argues that judge-based evaluation should use multiple prompt variants and aggregated metrics rather than relying on a single evaluation prompt.",https://aclanthology.org/2024.tacl-1.52/,4/1/26
"Rubric Design, Calibration, and Evaluation Frameworks",Validity and reliability of judge LLMs,"LLM-Rubric: A Multidimensional, Calibrated Approach to Automated Evaluation of Natural Language Texts",ACL,2024,"Helia Hashemi, Jason Eisner, Corby Rosset, Benjamin Van Durme, Chris Kedzie","This paper introduces a rubric-based evaluation framework that prompts an LLM on multiple assessment dimensions and then calibrates those outputs with a small neural model to better predict individual human judges’ ratings, including overall quality judgments. It is relevant to judge LLMs because it treats automated evaluation as a multidimensional, judge-calibrated measurement problem rather than a single raw model verdict.",https://aclanthology.org/2024.acl-long.745/,4/1/26
"Rubric Design, Calibration, and Evaluation Frameworks",Validity and reliability of judge LLMs,Autorubric: A Unified Framework for Rubric-Based LLM Evaluation,arXiv,2026,"Delip Rao, Chris Callison-Burch","This paper presents Autorubric, an open-source framework that unifies rubric-based LLM evaluation, supporting binary/ordinal/nominal criteria, multi-judge aggregation, bias mitigations, few-shot calibration, and psychometric reliability metrics. It is highly relevant to judge LLMs because it turns many scattered judge-design choices into one integrated evaluation framework with explicit attention to reliability and production use.",https://arxiv.org/abs/2603.00077,4/1/26
"Rubric Design, Calibration, and Evaluation Frameworks",Validity and reliability of judge LLMs,PairEval: Open-domain Dialogue Evaluation Metric with Pairwise Comparisons,COLM,2024,"ChaeHun Park, Minseok Choi, Dohyun Lee, Jaegul Choo","This paper introduces PairEval, a pairwise comparison metric for open-domain dialogue evaluation built by specializing moderate-size open models to compare responses relative to one another rather than scoring them in isolation. It is relevant to judge LLMs because it advances pairwise judge-style evaluation and shows stronger correlation with human judgments and better detection of common dialogue failures than prior metrics.",https://arxiv.org/abs/2404.01015,4/1/26
"Rubric Design, Calibration, and Evaluation Frameworks",Validity and reliability of judge LLMs,RevisEval: Improving LLM-as-a-Judge via Response-Adapted References,ICLR,2025,"Qiyuan Zhang, Yufei Wang, Tiezheng Yu, Yuxin Jiang, Chuhan Wu, Liangyou Li, Yasheng Wang, Xin Jiang, Lifeng Shang, Ruiming Tang, Fuyuan Lyu, Chen Ma","This paper introduces RevisEval, a judge-LLM evaluation method that first adaptively revises a candidate response to create a response-specific reference, then uses that reference to improve evaluation quality. It is highly relevant to judge LLMs because it directly targets the reliability gap between LLM judges and human evaluation, showing gains over both reference-free and traditional reference-based judging while also reducing bias.",https://arxiv.org/abs/2410.05193,4/1/26
"Rubric Design, Calibration, and Evaluation Frameworks",Systematic Biases in Judge LLMs,EvalAssist: LLM-as-a-Judge Simplified,AAAI,2025,"Michael Desmond, Zahra Ashktorab, Werner Geyer, Elizabeth M. Daly, Martín Santillán Cooper, Qian Pan, Rahul Nair, Nico Wagner, Tejaswini Pedapati","This paper presents EvalAssist, a human-centered tool for building, testing, and sharing custom LLM-as-a-judge criteria and running structured evaluation pipelines with off-the-shelf or specialized evaluator models. It is relevant to judge LLMs because it focuses on the practical workflow of creating and operationalizing custom judging criteria for real-world model evaluation and risk assessment.",https://arxiv.org/abs/2507.02186,4/1/26
Systematic Biases in Judge LLMs,Validity and reliability of judge LLMs,JudgeLM: Fine-tuned Large Language Models are Scalable Judges,ICLR,2025,"Lianghui Zhu, Xinggang Wang, Xinlong Wang","This paper introduces JudgeLM, a family of fine-tuned LLM judges trained on a large dataset of GPT-4 judgments to provide scalable automatic evaluation for open-ended benchmarks. It is highly relevant to judge LLMs because it develops dedicated judge models, analyzes major judge biases such as position, knowledge, and format bias, and proposes debiasing techniques that improve agreement with stronger teacher judges.",https://arxiv.org/abs/2310.17631,4/1/26
Foundational papers on judge LLM systems and judge LLM benchmarks,,Auto-J: Generative Judge for Evaluating Alignment,ICLR,2024,"Junlong Li, Shichao Sun, Weizhe Yuan, Run-Ze Fan, Hai Zhao, Pengfei Liu","This paper introduces Auto-J, a 13B generative judge model designed to evaluate alignment-oriented LLM outputs across diverse real-world scenarios, supporting both pairwise comparison and single-response evaluation while also generating natural-language critiques. It is highly relevant to judge LLMs because it develops a dedicated evaluator model for open-ended alignment tasks and shows strong performance across a broad 58-scenario testbed.",https://arxiv.org/abs/2310.05470,4/1/26
Validity and reliability of judge LLMs,,An Empirical Study of LLM-as-a-Judge for LLM Evaluation: Fine-tuned Judge Model is not a General Substitute for GPT-4,ACL,2025,"Hui Huang, Yingqi Qu, Xingyuan Bu, Hongli Zhou, Jing Liu, Muyun Yang, Bing Xu, Tiejun Zhao","This paper presents an empirical critique of fine-tuned LLM judges, showing that although they can perform well on in-domain meta-evaluation benchmarks, they fall short of GPT-4 in generalizability, fairness, and adaptability across evaluation schemes and tasks. It is highly relevant to judge LLMs because it argues that many fine-tuned judge models behave more like task-specific classifiers than general evaluators, challenging the claim that they are reliable substitutes for stronger proprietary judges.",https://aclanthology.org/2025.findings-acl.306.pdf,4/1/26
Systematic Biases in Judge LLMs,,Replacing Judges with Juries: Evaluating LLM Generations with a Panel of Diverse Models,arXiv,2024,"Pat Verga, Sebastian Hofstätter, Sophia Althammer, Yixuan Su, Aleksandra Piktus, Arkady Arkhangorodsky, Minjie Xu, Naomi White, Patrick Lewis","This paper introduces PoLL (“Panel of LLM evaluators”), showing that using a panel of diverse smaller judge models can outperform a single large judge while also reducing intra-model bias and cutting evaluation cost by more than 7×. It is highly relevant to judge LLMs because it directly proposes a new evaluation architecture for improving reliability, robustness, and cost-efficiency in LLM-based judging.",https://arxiv.org/abs/2404.18796,4/1/26
Foundational papers on judge LLM systems and judge LLM benchmarks,,ChatEval: Towards Better LLM-based Evaluators through Multi-Agent Debate,ICLR,2024,"Chi-Min Chan, Weize Chen, Yusheng Su, Jianxuan Yu, Wei Xue, Shanghang Zhang, Jie Fu, Zhiyuan Liu","This paper introduces ChatEval, a multi-agent debate framework for LLM-based evaluation in which multiple LLM “referees” discuss and assess generated responses rather than relying on a single judge prompt. It is highly relevant to judge LLMs because it frames evaluation as a collaborative judging process and argues that multi-agent deliberation can produce more reliable, human-mimicking assessments than single-agent evaluators.",https://arxiv.org/abs/2308.07201,4/1/26
Foundational papers on judge LLM systems and judge LLM benchmarks,,LLMBar: Evaluating Large Language Models at Evaluating Instruction Following,ICLR,2024,"Zhiyuan Zeng, Jiatong Yu, Tianyu Gao, Yu Meng, Tanya Goyal, Danqi Chen","This paper studies how well LLMs can act as evaluators of instruction following, introducing LLMBar, a challenging meta-evaluation benchmark containing deceptively difficult response pairs where one output follows the instruction and the other appears attractive but does not. It is highly relevant to judge LLMs because it directly evaluates the strengths and failure modes of LLM evaluators and shows that even strong judge setups still have substantial room for improvement on instruction-following assessment.",https://arxiv.org/abs/2310.07641,4/1/26
Foundational papers on judge LLM systems and judge LLM benchmarks,,JudgeBench: A Benchmark for Evaluating LLM-based Judges,ICLR,2025,"Sijun Tan, Siyuan Zhuang, Kyle Montgomery, William Y. Tang, Alejandro Cuadron, Chenguang Wang, Raluca Ada Popa, Ion Stoica","This paper introduces JudgeBench, a benchmark for evaluating LLM-based judges on difficult response pairs in knowledge, reasoning, math, and coding, where correctness is grounded in objective answers rather than crowdsourced stylistic preference. It is highly relevant to judge LLMs because it directly targets a core validity problem in the field—whether judges can reliably identify factual and logical correctness on challenging tasks—and shows that many strong judges perform only slightly above random on this harder benchmark.",https://arxiv.org/pdf/2410.12784,4/1/26
Validity and reliability of judge LLMs,,Self-Taught Evaluators,arXiv,2024,"Tianlu Wang, Ilia Kulikov, Olga Golovneva, Ping Yu, Weizhe Yuan, Jane Dwivedi-Yu, Richard Yuanzhe Pang, Maryam Fazel-Zarandi, Jason Weston, Xian Li","This paper introduces Self-Taught Evaluators, a method for improving LLM judges using only synthetic preference data rather than human annotations, by iteratively generating contrasting outputs and training the judge on its own reasoning traces and judgments. It is highly relevant to judge LLMs because it directly studies how evaluator models can be trained and improved as judges, and reports that the resulting model surpasses GPT-4 and matches top reward models on RewardBench without labeled preference data.",https://arxiv.org/abs/2408.02666,4/1/26
Systematic Biases in Judge LLMs,,Preference Leakage: A Contamination Problem in LLM-as-a-judge,ICLR,2026,"Dawei Li, Renliang Sun, Yue Huang, Ming Zhong, Bohan Jiang, Jiawei Han, Xiangliang Zhang, Wei Wang, Huan Liu","This paper identifies preference leakage, a contamination problem in LLM-as-a-Judge where evaluators become biased toward models that are related to the LLM used to generate synthetic preference data, such as the same model, an inherited model, or one from the same family. It is highly relevant to judge LLMs because it surfaces a subtle but important validity threat in modern judge pipelines, showing that evaluation can be distorted by hidden generator–judge relatedness rather than true output quality.",https://arxiv.org/abs/2502.01534,4/1/26
Systematic Biases in Judge LLMs,,LLM Evaluators Recognize and Favor Their Own Generations,NeurIPS,2024,"Arjun Panickssery, Samuel R. Bowman, Shi Feng","This paper studies self-preference bias in LLM evaluators, asking whether judges favor their own generations because they can actually recognize them, and finds that models like GPT-4 and Llama 2 can identify their own outputs at non-trivial rates. It is highly relevant to judge LLMs because it links self-recognition to biased evaluation, showing that a judge’s tendency to reward familiar text can undermine unbiased automatic assessment.",https://arxiv.org/abs/2404.13076,4/1/26
